GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UserInterfaceWebService,com.mediscreen.userInterface.beans,NotesPatientBean,14,17,0,0,6,8,4,5,4,5
UserInterfaceWebService,com.mediscreen.userInterface.beans,PatientBean,23,34,0,0,9,16,7,9,7,9
UserInterfaceWebService,com.mediscreen.userInterface.controller,InterfaceController,0,243,1,7,0,60,1,16,0,13
UserInterfaceWebService,com.mediscreen.userInterface,UserInterfaceWebServiceApplication,8,0,0,0,3,0,2,0,2,0
