GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PatientAssessmentService,com.mediscreen.PatientAssesmentService,PatientAssessmentServiceApplication,8,0,0,0,3,0,2,0,2,0
PatientAssessmentService,com.mediscreen.PatientAssesmentService.beans,NotesPatientBean,21,10,0,0,9,5,6,3,6,3
PatientAssessmentService,com.mediscreen.PatientAssesmentService.beans,PatientBean,6,51,0,0,2,23,2,14,2,14
PatientAssessmentService,com.mediscreen.PatientAssesmentService.controller,PatientAssessmentController,0,88,0,0,0,18,0,7,0,7
PatientAssessmentService,com.mediscreen.PatientAssesmentService.exception,PatientNotFoundException,0,4,0,0,0,2,0,1,0,1
PatientAssessmentService,com.mediscreen.PatientAssesmentService.service,PatientAssessmentServiceImpl,60,257,36,14,8,49,20,13,0,8
